Organization,Country,Budget,GDP,GDP/capita,Budget/GDP %,Budget/capita (USD),Year of data,Active satellites,Population,Source(s),Comments
NASA,United States," $22,600,000,000.00 "," $21,000,000,000,000.00 "," $70,248.63 ",0.1076%, $75.60 ,2021,3449,"328,239,523",,
CNSA,China," $8,900,000,000.00 "," $14,690,000,000,000.00 "," $10,408.67 ",0.0606%, $6.31 ,2020,541,"1,397,715,000",,
Roscosmos,Russia," $1,920,000,000.00 "," $1,779,000,000,000.00 "," $12,194.78 ",0.1079%, $13.16 ,2021,173,"144,373,535",,
JAXA,Japan," $1,430,320,797.92 "," $4,941,000,000,000.00 "," $39,918.17 ",0.0289%, $11.56 ,2020,97,"126,226,568",,
ISRO,India," $1,283,549,813.35 "," $3,176,000,000,000.00 "," $2,256.59 ",0.0404%, $0.91 ,2021,63,"1,366,417,754",,
KARI,South Korea," $553,100,000.00 "," $1,811,000,000,000.00 "," $34,997.78 ",0.0305%, $10.69 ,2021,17,"51,709,098",,
CSA,Canada," $272,291,795.24 "," $1,988,000,000,000.00 "," $51,987.94 ",0.0137%, $7.12 ,2021,59,"36,991,981",,
KazCosmos,Kazakhstan," $124,635,157.76 "," $197,100,000,000.00 "," $10,373.79 ",0.0632%, $6.56 ,2021,6,"18,513,930",https://www.gharysh.kz/sayten2022/okompanii/aboutcompanyru_kckq/,State corporation
UAESA,United Arab Emirates," $82,000,000.00 "," $415,000,000,000.00 "," $44,315.55 ",0.0198%, $8.76 ,2021-2030 plan,13,"9,770,529",,
CONAE,Argentina," $77,500,000.00 "," $487,200,000,000.00 "," $10,636.12 ",0.0159%, $1.69 ,2021,39,"44,938,712",,
AEB,Brazil," $45,000,000.00 "," $1,873,000,000,000.00 "," $8,845.26 ",0.0024%, $0.21 ,2019,17,"212,559,417",,
ZINGSA (2021),Zimbabwe," $25,760,000.00 "," $28,370,000,000.00 "," $1,773.92 ",0.0908%, $1.61 ,2021,1,"14,645,468",,
STGI (2020),Ethiopia," $22,220,000.00 "," $107,000,000,000.00 ", $918.65 ,0.0208%, $0.19 ,2020,2,"112,078,730",,
Australian Space Agency,Australia," $11,836,023.21 "," $1,553,000,000,000.00 "," $60,443.11 ",0.0008%, $0.46 ,2021,14,"25,766,605",,
STGI (2021),Ethiopia," $10,400,000.00 "," $111,300,000,000.00 ", $925.08 ,0.0093%, $0.09 ,2021,2,"112,078,730",,
NASRDA,Nigeria," $10,180,000.00 "," $440,800,000,000.00 "," $2,065.75 ",0.0023%, $0.05 ,2021,3,"200,963,599",,
ZINGSA (2020),Zimbabwe," $7,000,000.00 "," $21,510,000,000.00 "," $1,372.70 ",0.0325%, $0.45 ,2020,1,"14,645,468",,
PhilSA,Philippines," $5,730,726.38 "," $394,000,000,000.00 "," $3,460.53 ",0.0015%, $0.05 ,2021,0,"108,116,615",,
EGSA,Egypt," $2,125,396.00 "," $404,100,000,000.00 "," $3,698.83 ",0.0005%, $0.02 ,2021,4,"100,388,073",,
SPARRSO,Bangladesh," $1,940,158.91 "," $416,300,000,000.00 "," $2,457.92 ",0.0005%, $0.01 ,2021,1,"167,310,838",http://www.sparrso.gov.bd/sites/default/files/files/sparrso.portal.gov.bd/annual_reports/56176830_0758_4979_a085_993483e578e9/2022-03-09-08-50-0ce19c44d9d26f395ad29ae79f949fd3.pdf,
NSSA,Bahrain," $1,443,357.66 "," $38,870,000,000.00 "," $26,562.97 ",0.0037%, $0.99 ,2021,0,"1,501,635",,
ArmCosmos,Armenia,,,,#DIV/0!,#DIV/0!,,1,"2,957,731",,Private agency: commerical // annual budget figure not found
Azercosmos,Azerbaijan,,,,#DIV/0!,#DIV/0!,,2,"10,023,318",,Private agency: commercial
,,,,,#DIV/0!,#DIV/0!,,,#FIELD!,,
,,,,,#DIV/0!,#DIV/0!,,,#FIELD!,,
,,,,,#DIV/0!,#DIV/0!,,,#FIELD!,,
,,,,,#DIV/0!,#DIV/0!,,,#FIELD!,,
,,,,,#DIV/0!,#DIV/0!,,,#FIELD!,,
,,,,,#DIV/0!,#DIV/0!,,,#FIELD!,,
,,,,,#DIV/0!,#DIV/0!,,,#FIELD!,,
GGPEN,Angola,,,,#DIV/0!,#DIV/0!,,,"31,825,295",,Tentative budget figures
ASAL,Algeria,,,,#DIV/0!,#DIV/0!,,,"43,053,054",,Did not find budget figures
